study_hours,attendance,previous_score,assignment_score,sleep_hours,internet_access,final_score
17.5,99.0,61.9,55.9,5.7,1,95.0
14.3,94.2,68.3,66.4,7.0,1,100.0
18.2,85.6,60.5,70.9,7.0,1,93.6
22.6,78.5,66.3,93.9,7.7,1,100.0
13.8,92.0,47.3,80.6,4.9,1,85.6
13.8,88.9,72.6,61.6,7.9,1,100.0
22.9,94.0,70.0,79.9,4.0,1,94.5
18.8,91.4,60.2,59.5,6.1,1,93.0
12.7,95.5,77.9,85.8,6.3,1,95.1
17.7,79.6,81.3,70.3,7.9,1,91.4
12.7,98.2,50.7,74.1,7.0,1,91.4
12.7,87.0,60.8,88.3,4.9,0,86.1
16.2,100.0,60.8,62.1,5.5,1,91.8
5.4,78.1,58.7,61.0,7.3,1,79.0
6.4,100.0,80.0,69.2,6.9,1,100.0
12.2,87.0,67.7,85.4,6.1,1,93.1
9.9,78.5,66.8,59.8,6.3,1,86.6
16.6,80.2,46.0,46.7,8.0,1,79.5
10.5,81.8,77.6,70.5,6.2,0,88.6
7.9,89.2,55.1,80.5,6.9,0,80.6
22.3,90.2,70.7,87.0,10.0,1,100.0
13.9,79.3,73.3,70.4,4.9,1,97.9
15.3,84.8,86.3,70.9,4.2,0,97.4
7.9,100.0,54.3,86.5,8.2,1,93.2
12.3,100.0,33.8,56.3,6.0,1,69.4
15.6,89.4,72.2,71.1,6.5,1,95.7
9.2,85.4,91.6,76.9,5.8,1,100.0
16.9,86.2,84.9,79.5,6.6,1,100.0
12.0,91.1,72.5,69.9,9.4,1,100.0
13.5,74.8,64.1,75.3,8.2,1,97.0
12.0,82.4,79.7,50.1,8.3,1,94.5
24.3,68.3,58.3,68.4,4.9,1,85.9
14.9,89.0,75.7,79.5,5.3,1,88.0
9.7,91.5,76.1,65.2,4.0,1,92.4
19.1,80.2,82.7,75.6,5.8,1,98.0
8.9,100.0,100.0,79.5,8.4,1,100.0
16.0,72.7,74.7,71.6,7.8,0,85.5
5.2,70.4,63.9,76.7,6.7,0,75.2
8.4,87.2,69.7,65.4,7.0,1,89.5
16.0,95.5,48.8,72.9,6.0,1,90.6
18.7,100.0,61.7,81.1,7.3,1,97.4
